"replicate","fdr_c1","power_c1","dataset_name"
77,0.002353592690018,0.871447575281171,"HumanBreastCancerILC"
78,0.00332871012482663,0.86829386176897,"HumanBreastCancerILC"
79,0.00385887541345094,0.873052301002537,"HumanBreastCancerILC"
80,0.00330214639515685,0.87487922705314,"HumanBreastCancerILC"
81,0.00316760776752513,0.874260176349801,"HumanBreastCancerILC"
82,0.00373031224095054,0.871104131432713,"HumanBreastCancerILC"
83,0.00315587266739846,0.877415458937198,"HumanBreastCancerILC"
84,0.00192070242831664,0.878623188405797,"HumanBreastCancerILC"
85,0.00343878954607978,0.875,"HumanBreastCancerILC"
86,0.00437696621529203,0.879531174480425,"HumanBreastCancerILC"
87,0.00566298342541436,0.869864668922185,"HumanBreastCancerILC"
88,0.00330214639515685,0.87487922705314,"HumanBreastCancerILC"
89,0.00358917725013805,0.871739130434783,"HumanBreastCancerILC"
90,0.00206384149697303,0.876389560173997,"HumanBreastCancerILC"
91,0.00373392338542387,0.870468825519575,"HumanBreastCancerILC"
92,0.00371338192820795,0.875196327171681,"HumanBreastCancerILC"
93,0.00412257798543356,0.875347264162338,"HumanBreastCancerILC"
94,0.00303280948442239,0.873429951690821,"HumanBreastCancerILC"
95,0.00414995158389819,0.869444444444444,"HumanBreastCancerILC"
96,0.00302738406495115,0.876588021778584,"HumanBreastCancerILC"
97,0.00302156297211921,0.876902633486349,"HumanBreastCancerILC"
98,0.00344589937973811,0.873188405797101,"HumanBreastCancerILC"
99,0.00547345374931582,0.877777777777778,"HumanBreastCancerILC"
100,0.0042966042966043,0.867737649474574,"HumanBreastCancerILC"
1,0.0782051282051282,0.817045454545455,"HumanOvarianCancer"
2,0.0691003911342894,0.81044267877412,"HumanOvarianCancer"
3,0.0736434108527132,0.815699658703072,"HumanOvarianCancer"
4,0.0793450881612091,0.830681818181818,"HumanOvarianCancer"
5,0.0803108808290155,0.805902383654938,"HumanOvarianCancer"
6,0.0849933598937583,0.782065834279228,"HumanOvarianCancer"
7,0.0792838874680307,0.818181818181818,"HumanOvarianCancer"
8,0.0945083014048531,0.805681818181818,"HumanOvarianCancer"
9,0.100997506234414,0.81838819523269,"HumanOvarianCancer"
10,0.0813214739517154,0.823462414578588,"HumanOvarianCancer"
11,0.096612296110414,0.817253121452894,"HumanOvarianCancer"
12,0.070694087403599,0.821590909090909,"HumanOvarianCancer"
13,0.089171974522293,0.811577752553916,"HumanOvarianCancer"
14,0.087719298245614,0.82633371169126,"HumanOvarianCancer"
15,0.0743589743589744,0.820454545454545,"HumanOvarianCancer"
16,0.0748031496062992,0.800227014755959,"HumanOvarianCancer"
17,0.0704960835509138,0.809090909090909,"HumanOvarianCancer"
18,0.0884615384615385,0.808873720136519,"HumanOvarianCancer"
19,0.0748387096774194,0.813847900113507,"HumanOvarianCancer"
20,0.0955974842767296,0.818906605922551,"HumanOvarianCancer"
21,0.0883838383838384,0.819523269012486,"HumanOvarianCancer"
22,0.0747051114023591,0.804100227790433,"HumanOvarianCancer"
23,0.08656330749354,0.80249716231555,"HumanOvarianCancer"
24,0.0790155440414508,0.808873720136519,"HumanOvarianCancer"
25,0.0897435897435897,0.805902383654938,"HumanOvarianCancer"
26,0.0951776649746193,0.809307604994325,"HumanOvarianCancer"
27,0.073202614379085,0.804767309875142,"HumanOvarianCancer"
28,0.083969465648855,0.817253121452894,"HumanOvarianCancer"
29,0.0780051150895141,0.820250284414107,"HumanOvarianCancer"
30,0.0759330759330759,0.817767653758542,"HumanOvarianCancer"
