"gene_name","sigma_b_sq_stationary","sigma_eps_sq_stationary","range_stationary","prop_spatial_stationary","log_ml_stationary","sigma_b_sq_nonstationary","sigma_eps_sq_nonstationary","range_nonstationary","prop_spatial_nonstationary","log_ml_nonstationary","log_bayes_factor","bayes_factor","bf_interpretation","dataset_name","dataset_file","n_spots","n_genes_total"
"STK4",3.46549414396298e-05,0.139003253247938,349.572633552251,0.000249248150313279,-1859.92574510926,0.000436075375920205,0.138791168680649,892.070522347973,0.00313211238845628,-1866.21829325835,-6.29254814909018,0.00185003975841041,"Extreme for stationary","HumanHeart","HumanHeart.rds",4247,36601
"SDC4",0.0204496702003773,0.483627318969381,400.643656295342,0.0405685453606185,-4562.84063529702,0.0223869344505987,0.49200033624494,405.692017988723,0.0435215560842471,-4569.73846452045,-6.89782922343147,0.00100997548224206,"Extreme for stationary","HumanHeart","HumanHeart.rds",4247,36601
"SYS1",0.000153913837285671,0.280868122498789,596.924711370909,0.000547693125038797,-3357.34196028997,0.00117464707372477,0.279514870457093,156.432717728736,0.0041848626341944,-3360.48338928903,-3.14142899905619,0.0432209909961375,"Strong for stationary","HumanHeart","HumanHeart.rds",4247,36601
"TP53TG5",3.37848700757305e-06,0.0586572335794068,448.833842830774,5.75937905957747e-05,-28.8074956228835,0.00423284956750854,0.0598604285155204,0.161165872302286,0.0660420202259766,-31.4464749320749,-2.63897930919147,0.0714341445333904,"Strong for stationary","HumanHeart","HumanHeart.rds",4247,36601
"DBNDD2",0.0704912967723527,0.805820380533889,898.693796351461,0.0804408963133312,-5664.46813855883,0.0713215939630247,0.805545571941709,790.219981923706,0.0813368281265687,-5671.43435007069,-6.96621151185991,0.000943219521500367,"Extreme for stationary","HumanHeart","HumanHeart.rds",4247,36601
"PIGT",0.0453943290134812,0.661609082201298,414.566067871703,0.0642066619388502,-5198.02313524138,0.000617785873928263,0.667761650211497,533.294783368369,0.000924304131118278,-5205.94504854298,-7.92191330160585,0.000362707692973814,"Extreme for stationary","HumanHeart","HumanHeart.rds",4247,36601
"WFDC2",8.25315595696874e-05,0.0431969185079636,144.624456723737,0.00190694566222318,622.683120254407,7.24556242788808e-05,0.0431043701939286,52.8359435920383,0.00167811373128607,616.214174640945,-6.46894561346267,0.00155086007714711,"Extreme for stationary","HumanHeart","HumanHeart.rds",4247,36601
"DNTTIP1",3.51304534754663e-06,0.236450060075165,32.4968320339061,1.48572309615983e-05,-2987.23749877062,0.000902868416976973,0.235788641561479,340.713608775276,0.00381453655460288,-2993.60382488036,-6.3663261097463,0.00171846107972916,"Extreme for stationary","HumanHeart","HumanHeart.rds",4247,36601
"SNX21",0.000602841195157241,0.229904403235981,371.603569558384,0.00261528090644168,-2931.46693645293,2.34924543780353e-05,0.229615082905044,75.4688230588394,0.000102301864315548,-2936.50045246704,-5.03351601410895,0.00651586039054876,"Extreme for stationary","HumanHeart","HumanHeart.rds",4247,36601
"ACOT8",0.049464353799188,0.38045944372866,220.063559434266,0.115053770188155,-4048.29395486152,0.0394354993170247,0.382622477895289,227.377492614631,0.0934362136157113,-4054.49303980486,-6.19908494333777,0.00203128853022949,"Extreme for stationary","HumanHeart","HumanHeart.rds",4247,36601
"ZSWIM1",1.86260414400699e-05,0.117134127914149,80.8986838527894,0.000158989360567065,-1495.55624205303,5.42615757389744e-11,0.117162331140238,192.211136648764,4.63131581505453e-10,-1499.1669680215,-3.61072596847839,0.027032215205089,"Very strong for stationary","HumanHeart","HumanHeart.rds",4247,36601
"NEURL2",0.00231690245029564,0.144452509039392,102.102973375439,0.0157860035465117,-1944.21736608647,0.000408440633888394,0.144228876256558,432.72322077384,0.00282389526209037,-1950.40138923308,-6.18402314661148,0.00206211495305598,"Extreme for stationary","HumanHeart","HumanHeart.rds",4247,36601
"CTSA",0.0352840606643915,0.5859650616313,537.309732257531,0.0567953489157569,-4955.84770945883,0.0778196187275613,0.585660645568344,171.081708422763,0.117290027925917,-4962.06180894563,-6.21409948679957,0.00200101748197489,"Extreme for stationary","HumanHeart","HumanHeart.rds",4247,36601
"PLTP",0.0524302353710584,0.571656816409733,319.381644546398,0.0840110930381462,-4899.5943317772,0.0574710916701377,0.570895064162635,290.791715484467,0.0914611506948068,-4906.28527841247,-6.6909466352663,0.00124210639453087,"Extreme for stationary","HumanHeart","HumanHeart.rds",4247,36601
"PCIF1",2.49910928345076e-05,0.274511562428898,1301.36734761764,9.10301106134095e-05,-3305.34205206365,0.00138745314740415,0.272880642822245,146.174054390701,0.00505874787404251,-3310.94485527971,-5.60280321605842,0.00368751232090865,"Extreme for stationary","HumanHeart","HumanHeart.rds",4247,36601
"ZNF335",6.30858663454765e-06,0.14077309423833,52.005626791856,4.48118581834823e-05,-1885.78442369184,1.15475041483455e-09,0.140757299637774,219.957129469573,8.20384028631415e-09,-1889.02610066595,-3.24167697411076,0.0390982732992379,"Strong for stationary","HumanHeart","HumanHeart.rds",4247,36601
"MMP9",0.00232173641899312,0.0454668734155743,540.339378040115,0.0485834684672856,477.562852127955,1.42342303829182e-05,0.0429917346667949,0.39274633475512,0.000330982669334821,573.7569882206,96.1941360926442,5.97836596060786e+41,"Extreme for nonstationary","HumanHeart","HumanHeart.rds",4247,36601
"NCOA5",0.000180101386071861,0.164123344692337,181.408103598593,0.00109615099604127,-2212.57304344745,2.01378725797426e-08,0.164142960947584,415.711044332753,1.22684944836346e-07,-2215.94688155736,-3.37383810991196,0.0342578991101462,"Strong for stationary","HumanHeart","HumanHeart.rds",4247,36601
"CD40",0.00063588918803104,0.21765283485124,128.634480277808,0.00291306475325148,-2812.55794936408,0.000252434438004788,0.217354455578819,383.632876680296,0.00116004800208887,-2819.23421576403,-6.67626639995115,0.00126047530879282,"Extreme for stationary","HumanHeart","HumanHeart.rds",4247,36601
"CDH22",0.00950224731657243,0.0660333278835878,175.019235820445,0.125798304856918,-299.988437583636,0.00404199806128312,0.0660075608439811,6.35688961773234,0.0577019773493444,-300.46893315775,-0.480495574114286,0.618476814746913,"Anecdotal for stationary","HumanHeart","HumanHeart.rds",4247,36601
"SLC35C2",0.00141582761770616,0.196732901646247,153.163599098885,0.00714527730238503,-2604.02331318188,0.000580961922861688,0.197116847170072,431.717021257668,0.00293863612109423,-2608.73141583355,-4.70810265167074,0.00902187900068127,"Extreme for stationary","HumanHeart","HumanHeart.rds",4247,36601
"ELMO2",0.00176516888584562,0.229891322432861,264.69821642843,0.00761976871788646,-2929.02060122651,0.000143694721630291,0.229887216449867,711.43719325918,0.000624675705097565,-2934.4657672616,-5.44516603508146,0.00431712315422875,"Extreme for stationary","HumanHeart","HumanHeart.rds",4247,36601
"ZNF334",0.000327204145606864,0.0521281176548825,211.552258698369,0.00623776834029091,220.486336902569,0.000821618122491217,0.0518895556531553,788.53261339649,0.0155871718203099,214.286827401,-6.19950950156957,0.00203042631300648,"Extreme for stationary","HumanHeart","HumanHeart.rds",4247,36601
"TP53RK",0.000764548147599835,0.205957014885783,502.389181654742,0.0036984441118819,-2696.99244096225,0.000108053491697756,0.205696653515066,360.977772347427,0.000525029253554462,-2703.55752758861,-6.56508662636315,0.00140870191489632,"Extreme for stationary","HumanHeart","HumanHeart.rds",4247,36601
"SLC2A10",2.12328902549592e-05,0.1095922787858,308.106554206339,0.000193706869986152,-1357.616655194,0.00347198202266254,0.108068505660995,191.400310765203,0.0311275492403216,-1357.48840919502,0.128245998984312,1.1368326279737,"Anecdotal for nonstationary","HumanHeart","HumanHeart.rds",4247,36601
"ZMYND8",0.000938033241014956,0.233153788643915,178.135492171763,0.0040071166667072,-2958.26032591107,9.79918458482022e-08,0.233269511514316,2060.57711834239,4.20079778311686e-07,-2962.2080673575,-3.94774144643088,0.0192982386975324,"Very strong for stationary","HumanHeart","HumanHeart.rds",4247,36601
"AL031666.1",3.81915941075987e-06,0.246886564280549,47.0121518857417,1.54690488853675e-05,-3078.62801008374,2.25397826669594e-08,0.24685897802653,4150.39816953899,9.13063028500137e-08,-3083.11156327452,-4.48355319077564,0.0112932148340333,"Very strong for stationary","HumanHeart","HumanHeart.rds",4247,36601
"NCOA3",5.2603431228265e-11,0.209854182720218,147.73274897382,2.50666584450266e-10,-2734.10654244204,0.000110238168888496,0.209340406818973,17.8302025836669,0.000526320503309428,-2738.52951913596,-4.42297669392201,0.0119984633216648,"Very strong for stationary","HumanHeart","HumanHeart.rds",4247,36601
"SULF2",0.00163077813723268,0.199514408950967,106.913445824403,0.00810746784867195,-2681.99690671463,0.00653411645933926,0.203226351227651,184.355012074462,0.0311503713325508,-2689.4860399091,-7.4891331944682,0.000559127405217266,"Extreme for stationary","HumanHeart","HumanHeart.rds",4247,36601
"PREX1",0.00361337692376128,0.13487049409233,233.00381401559,0.0260924026549014,-1814.63419057099,0.000589339914404881,0.135413463757171,528.335694843195,0.00433329239173656,-1818.46828653872,-3.8340959677289,0.0216208756070223,"Very strong for stationary","HumanHeart","HumanHeart.rds",4247,36601
"ARFGEF2",0.00139448224747381,0.336840359349511,925.762877911457,0.00412282259535926,-3745.00274755941,0.00196659216884641,0.336468806478401,790.113565017395,0.00581083473155301,-3751.08508772028,-6.08234016086408,0.00228282821201578,"Extreme for stationary","HumanHeart","HumanHeart.rds",4247,36601
"CSE1L",0.0735506669707198,0.395053267583463,35.5987080653273,0.156956998324595,-4085.35535914603,0.00058277264675607,0.394098588425996,174.127663671809,0.00147656490585743,-4090.30744363451,-4.9520844884737,0.00706865902313024,"Extreme for stationary","HumanHeart","HumanHeart.rds",4247,36601
"STAU1",0.0881289480625641,0.428313996957899,211.884987248539,0.170646048924286,-4290.06547331361,0.0520292709814712,0.427765391332557,251.659779912052,0.108440704051471,-4297.82478420591,-7.75931089229653,0.00042675055647946,"Extreme for stationary","HumanHeart","HumanHeart.rds",4247,36601
"DDX27",0.000313841052218861,0.240592271139634,297.703909755701,0.00130275255103915,-3026.84198686041,0.000752290147005978,0.240046004043382,259.71743839855,0.00312415064872169,-3034.83908318318,-7.99709632277745,0.00033643811866393,"Extreme for stationary","HumanHeart","HumanHeart.rds",4247,36601
"ZNFX1",0.000822827659286571,0.257602073228843,222.363568475798,0.00318401073758278,-3171.57732579798,0.00199081237988542,0.25630878785584,133.888847773027,0.00770737693000143,-3177.03760341719,-5.46027761921368,0.00425237503991465,"Extreme for stationary","HumanHeart","HumanHeart.rds",4247,36601
"ZFAS1",0.0112549826131795,0.494298591298889,828.558015935813,0.0222626902349563,-4580.39072268581,0.00957202587963995,0.494309170725342,622.229993137113,0.0189965927368072,-4585.41768072047,-5.02695803465667,0.006558731690007,"Extreme for stationary","HumanHeart","HumanHeart.rds",4247,36601
"KCNB1",1.87072939940456e-05,0.0526566379829505,9.87312834151008,0.000355143262862172,201.153090557162,2.96146946227241e-05,0.0526605961120201,11.3773765309661,0.000562053067720703,197.676164676473,-3.47692588068938,0.0309022624074413,"Very strong for stationary","HumanHeart","HumanHeart.rds",4247,36601
"PTGIS",0.0111884470628679,0.372290696286927,447.52291222208,0.0291761553578476,-3985.08317617652,0.0443765829049717,0.372627631817432,128.560330093104,0.106417588451745,-3987.73074944687,-2.6475732703525,0.0708228726552673,"Strong for stationary","HumanHeart","HumanHeart.rds",4247,36601
"B4GALT5",0.00148944751321017,0.331206748331642,361.406951161355,0.00447689974160314,-3706.7227993484,9.06895097538739e-05,0.330557497701171,208.497927407224,0.000274277958451415,-3710.65920080093,-3.93640145252584,0.0195183261433721,"Very strong for stationary","HumanHeart","HumanHeart.rds",4247,36601
